,date,open,close,high,low,ticker
0,2018-04-30,13.35,13.7,13.75,13.35,EZPW
1,2018-05-01,13.65,13.7,13.9,13.35,EZPW
2,2018-05-02,13.75,13.95,14.1,13.6,EZPW
3,2018-05-03,13.7,14.6,14.65,13.61,EZPW
4,2018-05-04,14.65,14.8,14.95,14.5,EZPW
5,2018-05-07,14.8,14.95,15.1,14.8,EZPW
6,2018-05-08,14.75,14.7,14.85,14.4,EZPW
7,2018-05-09,14.15,13.25,14.3,13.225,EZPW
8,2018-05-10,13.15,13.1,13.15,12.8,EZPW
9,2018-05-11,13.15,13.05,13.3,12.925,EZPW
10,2018-05-14,13.1,12.8,13.1,12.65,EZPW
11,2018-05-15,12.85,12.95,13.0,12.75,EZPW
12,2018-05-16,12.85,13.15,13.25,12.85,EZPW
13,2018-05-17,13.1,13.1,13.3,13.05,EZPW
14,2018-05-18,13.15,13.35,13.45,13.05,EZPW
15,2018-05-21,13.35,13.25,13.5,13.15,EZPW
16,2018-05-22,13.2,13.1,13.3,13.075,EZPW
17,2018-05-23,12.95,12.75,13.05,12.71,EZPW
18,2018-05-24,12.8,12.4,12.8,12.3,EZPW
19,2018-05-25,12.4,12.65,12.8,12.35,EZPW
20,2018-05-29,12.5,12.3,12.55,12.25,EZPW
21,2018-05-30,12.4,12.35,12.475,12.2,EZPW
22,2018-05-31,12.35,12.4,12.45,12.2,EZPW
23,2018-06-01,12.4,13.0,13.0,12.4,EZPW
24,2018-06-04,13.0,13.2,13.2,12.85,EZPW
25,2018-06-05,13.15,13.05,13.15,12.9,EZPW
26,2018-06-06,13.1,13.1,13.225,13.0,EZPW
27,2018-06-07,13.05,13.2,13.2,12.95,EZPW
28,2018-06-08,13.25,13.3,13.45,13.05,EZPW
29,2018-06-11,13.4,13.2,13.4,13.1,EZPW
30,2018-06-12,13.3,13.3,13.35,13.1,EZPW
31,2018-06-13,13.4,12.8,13.45,12.8,EZPW
32,2018-06-14,12.9,12.9,12.95,12.7,EZPW
33,2018-06-15,12.8,12.6,12.8,12.55,EZPW
34,2018-06-18,12.5,12.65,12.7,12.06,EZPW
35,2018-06-19,12.6,12.85,12.9,12.5,EZPW
36,2018-06-20,12.9,13.1,13.225,12.5475,EZPW
37,2018-06-21,13.1,12.55,13.1,12.5,EZPW
38,2018-06-22,12.65,12.2,12.7,12.05,EZPW
39,2018-06-25,12.2,12.35,12.5,12.0,EZPW
40,2018-06-26,12.45,12.75,12.9,12.275,EZPW
41,2018-06-27,12.7,11.75,12.85,11.75,EZPW
42,2018-06-28,12.5,12.1,12.5,12.05,EZPW
43,2018-06-29,12.2,12.05,12.4,11.925,EZPW
44,2018-07-02,12.05,12.05,12.35,11.95,EZPW
45,2018-07-03,12.05,11.7,12.1,11.7,EZPW
46,2018-07-05,11.75,11.8,11.95,11.65,EZPW
47,2018-07-06,11.8,12.15,12.15,11.75,EZPW
48,2018-07-09,12.2,12.5,12.55,12.05,EZPW
49,2018-07-10,12.5,12.4,12.55,12.325,EZPW
50,2018-07-11,12.2,12.55,12.625,12.2,EZPW
51,2018-07-12,12.55,12.2,12.65,12.2,EZPW
52,2018-07-13,12.25,12.1,12.3,12.005,EZPW
53,2018-07-16,12.1,11.85,12.15,11.7,EZPW
54,2018-07-17,11.95,11.75,12.05,11.605,EZPW
55,2018-07-18,11.8,11.65,11.9,11.6,EZPW
56,2018-07-19,11.65,12.2,12.225,11.5,EZPW
57,2018-07-20,12.15,12.25,12.35,12.1,EZPW
58,2018-07-23,12.25,12.25,12.4,12.1,EZPW
59,2018-07-24,12.2,12.35,12.425,12.1,EZPW
60,2018-07-25,12.4,12.25,12.4,12.05,EZPW
61,2018-07-26,12.2,12.05,12.35,11.95,EZPW
62,2018-07-27,12.1,11.55,12.1,11.55,EZPW
63,2018-07-30,11.5,11.3,11.65,11.3,EZPW
64,2018-07-31,11.4,11.45,11.6,11.2,EZPW
65,2018-08-01,11.4,11.35,11.6,11.25,EZPW
66,2018-08-02,10.95,10.95,11.75,10.75,EZPW
67,2018-08-03,10.8,11.05,11.15,10.8,EZPW
68,2018-08-06,11.0,11.4,11.55,11.0,EZPW
